14,14
1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,2,2,1,2,2,2,1,2,2,1,2,2
2,1,20,2,1,2,2,2,1,20,2,1,2,2
1,2,2,1,20,2,1,1,2,2,1,20,2,1
2,1,2,1,1,2,2,2,1,2,1,1,2,2
2,20,2,1,1,2,1,2,20,2,1,1,2,1
2,2,2,2,1,2,1,2,2,2,2,1,2,1
1,200,1,2,1,1,1,1,2,1,1,1,500,1
2,1,2,2,1,2,2,2,1,2,2,1,2,2
2,1,20,2,1,2,2,2,1,20,2,1,2,2
1,2,2,1,20,2,1,1,2,2,1,20,2,1
2,1,2,1,1,2,2,2,1,2,1,1,2,2
2,20,2,1,1,2,1,2,20,2,1,1,2,1
2,2,2,2,1,2,1,2,2,2,2,1,2,1
1,1,2,1,2,2,1,1,1,2,1,2,2,1
1,2,2,2,1,2,1,1,2,2,2,1,2,1
1,2,1,1,1,2,2,1,2,1,1,1,2,2
1,1,2,2,20,1,2,1,1,2,2,20,1,2
1,1,2,2,2,2,1,2,1,2,2,2,2,1
1,2,1,1,2,2,2,1,2,1,1,2,2,2
1,1,2,1,1,1,2,1,1,2,1,1,1,2
1,1,2,1,2,2,1,200,1,2,1,2,2,1
1,2,2,2,1,2,1,1,2,2,2,1,2,1
1,2,1,1,1,2,2,1,2,1,1,1,2,2
1,1,2,2,20,1,2,1,1,2,2,20,1,2
1,1,2,2,2,2,1,1,1,2,2,2,2,1
1,2,1,1,2,2,2,2,2,1,1,2,2,2
1,1,2,1,1,1,2,1,1,2,1,1,1,2
